player_name,age,team,position,games,games_started,minutes,fg_made,fg_atp,fg_pct,three_made,three_atp,three_pct,two_made,two_atp,two_pct,efg_pct,ft_made,ft_atp,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Isaiah Stewart,23,DET,C,72,4,19.9,2.4,4.4,559,0.2,0.7,321,2.2,3.6,607,586,0.9,1.2,759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6.0
Karl-Anthony Towns,29,NYK,C,72,72,35.0,8.9,16.9,526,2.0,4.7,420,6.9,12.2,567,584,4.7,5.7,829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4
Thomas Bryant,27,2TM,C,66,8,14.6,2.5,4.9,508,0.7,2.2,324,1.7,2.6,665,583,0.8,1.0,859,1.3,2.5,3.8,0.8,0.4,0.6,0.5,1.2,6.5
Tyrese Haliburton,24,IND,PG,73,73,33.6,6.5,13.8,473,3.0,7.7,388,3.5,6.1,581,582,2.6,3.0,851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6
Duncan Robinson,30,MIA,SF,74,37,24.1,3.9,9.0,437,2.6,6.5,393,1.4,2.4,556,581,0.6,0.7,887,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,11.0
Derrick White,30,BOS,SG,76,76,33.9,5.6,12.6,442,3.5,9.1,384,2.1,3.5,593,580,1.8,2.1,839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4
Royce O'Neale,31,PHO,SF,75,22,24.5,3.2,7.6,423,2.4,5.9,406,0.8,1.7,481,580,0.3,0.3,731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2.0,9.1
Josh Hart,29,NYK,SG,77,77,37.6,5.2,10.0,525,1.1,3.3,333,4.2,6.7,618,579,2.1,2.7,776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6
Malik Beasley,28,DET,SG,82,18,27.8,5.6,13.1,430,3.9,9.3,416,1.7,3.7,466,579,1.2,1.7,679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3
Luguentz Dort,25,OKC,SF,71,71,29.2,3.6,8.4,435,2.4,5.8,412,1.2,2.5,489,578,0.5,0.6,717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1
Aaron Wiggins,26,OKC,SG,76,26,22.9,4.7,9.6,488,1.7,4.5,383,3.0,5.1,578,577,1.0,1.2,831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0
